,location,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,is_asia,is_europe,is_africa,is_north_america,is_south_america,is_oceania
52,Egypt,4161.931333333334,21.9645,218.7355,0.48116666666666674,5.749503293984938,0.04279940671893357,41.38057268088088,37.56,27.28,43.52,97.99900000000001,25.3,5.159,2.891,10550.206,1.3,525.4319999999999,17.31,0.19999999999999998,50.1,1.5999999999999999,71.99,0.707,0.0,0.0,1.0,0.0,0.0,0.0
53,El Salvador,20727.008,0.0,602.0045,1.0993333333333333,0.7186666666666667,0.2005,5.0,67.3913880994559,60.06836866624008,28.7,307.811,27.599999999999998,8.272999999999998,5.417000000000001,7292.458,2.1999999999999997,167.295,8.87,2.5,18.8,1.3,73.32,0.6729999999999999,0.0,0.0,0.0,1.0,0.0,0.0
54,Equatorial Guinea,10922.545500000002,4.942833333333334,125.527,0.0,0.18533333333333335,0.032933333333333335,38.26666666666667,73.2343071082688,54.9970132818188,49.635608003349574,45.193999999999996,22.400000000000002,2.846,1.7519999999999996,22604.872999999996,3.0773631614496173,202.812,7.78,1.259472267803027,51.189210182329035,2.1,58.74,0.5920000000000001,0.0,0.0,1.0,0.0,0.0,0.0
56,Estonia,273460.8221666667,5458.722333333334,1545.8183333333334,3.27,9.5465,0.5135666666666667,1.9500000000000002,64.51499999999999,62.961666666666666,54.63,31.033000000000005,42.699999999999996,19.452,13.491,29481.252000000004,0.5,255.569,4.02,24.5,39.300000000000004,4.69,78.74,0.892,0.0,1.0,0.0,0.0,0.0,0.0
57,Eswatini,58432.39933333333,26.442333333333334,1174.1185,0.42650000000000005,0.5233023524599767,0.10170197312987092,13.322777515544255,31.960000000000004,18.38669727710822,60.19,79.492,21.5,3.1630000000000003,1.845,7738.974999999999,13.332335197867042,333.436,3.94,1.7,16.5,2.1,60.19,0.6109999999999999,0.0,0.0,1.0,0.0,0.0,0.0
58,Ethiopia,3954.257833333333,1.9525,62.37616666666667,0.036500000000000005,0.051666666666666666,0.04756666666666667,21.51666666666667,7.95,9.138196204027611,40.74,104.95700000000001,19.8,3.5260000000000002,2.063,1729.927,26.7,182.63400000000001,7.47,0.39999999999999997,8.5,0.3,66.60000000000001,0.48499999999999993,0.0,0.0,1.0,0.0,0.0,0.0
59,Fiji,69954.48349999999,77.3435,895.6336666666666,1.8458333333333332,0.2771666666666667,0.31965926086968355,3.7669682558304767,44.16234779039904,34.664078390582056,81.48,49.562000000000005,28.599999999999998,6.224,3.2839999999999994,8702.975,1.4000000000000001,412.82,14.49,10.200000000000001,34.800000000000004,2.3000000000000003,67.44,0.743,0.0,0.0,0.0,0.0,0.0,1.0
60,Finland,91524.98683333333,751.6333333333333,366.98500000000007,2.042666666666667,3.3761666666666668,0.34349999999999997,2.9000000000000004,79.52333333333333,74.92166666666667,38.88999999999999,18.136,42.800000000000004,21.228000000000005,13.264000000000001,40585.721,0.38386101602817396,153.50700000000003,5.759999999999999,18.3,22.599999999999998,3.28,81.90999999999998,0.9379999999999998,0.0,1.0,0.0,0.0,0.0,0.0
61,France,300691.5373333333,3989.602666666667,1958.421166666667,3.861166666666667,12.954333333333333,0.3345,2.966666666666667,80.225,76.79166666666667,72.22000000000001,122.57799999999999,42.0,19.718,13.079000000000002,38605.671,0.5412462589279446,86.06,4.77,30.099999999999998,35.6,5.98,82.65999999999998,0.9009999999999999,0.0,1.0,0.0,0.0,0.0,0.0
62,Gabon,20694.9855,23.55,132.3045,0.07316666666666667,0.7218333333333334,0.05291666666666667,19.21666666666667,73.81773442807709,51.96498769576985,60.19,7.859000000000001,23.099999999999998,4.45,2.9760000000000004,16562.413,3.4,259.96700000000004,7.2,1.95582106768683,43.93888749166164,6.3,66.47000000000001,0.703,0.0,0.0,1.0,0.0,0.0,0.0
63,Gambia,4773.543,2.5466666666666664,146.365,0.134,0.11599999999999999,0.10438333333333333,22.616666666666664,13.0,12.5,13.89,207.566,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7000000000000001,31.2,1.0999999999999999,62.050000000000004,0.496,0.0,0.0,1.0,0.0,0.0,0.0
